Risk,,AgeOldestIdentityRecord,AgeOldestAccount,AgeNewestAutoAccount,TotalInquiries,AvgAgeAutoAccounts,TotalAutoAccountsNeverDelinquent,WorstDelinquency,FirstYearDelinquency,Probabilities
0,count,2151,2151,2151,2151,2151,2151,2151,2151,2151
0,mean,207.4765225,127.4560669,49.75499768,0.269177127,70.17340772,1.177126918,162.7601116,0.342631334,0.347802255
0,std,107.9870159,81.31748174,36.20700102,0.609668779,33.92222513,1.315297233,188.2466223,0.474699761,0.068684146
0,min,1,0,1,0,1,0,1,0,0.170711637
0,25%,121,76,21,0,45,0,1,0,0.295713438
0,50%,213,116,42,0,70,1,30,0,0.346179049
0,75%,297,165,76,0,93,2,400,1,0.398955981
0,max,497,547,211,5,211,9,400,1,0.499092841
1,count,99,99,99,99,99,99,99,99,99
1,mean,150.5151515,97.4040404,34.36363636,2.02020202,48.65656566,1.272727273,375.0808081,0.585858586,0.552262048
1,std,99.28205169,63.63093831,31.71925783,1.671976699,31.35190702,1.713203121,91.67530066,0.495079895,0.047986533
1,min,1,6,1,0,1,0,1,0,0.500719424
1,25%,68,49.5,12,1,26,0,400,0,0.516102647
1,50%,128,83,26,2,46,1,400,1,0.538167754
1,75%,227,134.5,43.5,3,65,2,400,1,0.574756822
1,max,367,336,175,7,172,12,400,1,0.72007633
