ID,FirstYearDelinquency,AgeOldestIdentityRecord,AgeOldestAccount,AgeNewestAutoAccount,TotalInquiries,AvgAgeAutoAccounts,TotalAutoAccountsNeverDelinquent,WorstDelinquency,HasInquiryTelecomm
8321564,0,NA,NA,NA,0,NA,NA,NA,0
8321565,0,148,113,112,0,112,1,1,0
8321566,1,200,70,NA,0,NA,NA,400,0
8321567,0,378,78,32,0,49,2,400,0
8321568,1,37,NA,NA,0,NA,NA,NA,0
8321569,1,91,66,7,2,19,2,1,0
8321570,0,192,95,NA,0,NA,NA,1,0
8321571,0,254,123,40,0,77,2,1,0
8321572,0,336,133,NA,0,NA,NA,400,0
8321573,0,284,168,NA,0,NA,NA,1,0
8321574,0,121,98,68,1,83,1,1,0
8321575,0,147,143,40,0,42,1,400,0
8321576,0,267,0,NA,0,NA,NA,1,0
8321577,0,246,112,112,0,112,0,400,0
8321578,0,119,NA,NA,0,NA,NA,NA,1
8321579,1,155,118,38,1,78,1,400,0
8321580,0,129,16,NA,0,NA,NA,1,0
8321581,0,431,132,94,0,113,1,1,0
8321582,0,58,17,17,0,17,1,1,0
8321583,1,109,39,NA,0,NA,NA,1,0
8321584,0,171,119,69,0,74,1,1,0
8321585,1,134,NA,NA,NA,NA,NA,NA,0
8321586,1,177,126,16,0,66,2,120,0
8321587,1,280,NA,NA,NA,NA,NA,NA,1
8321588,0,83,NA,NA,NA,NA,NA,NA,0
8321589,1,377,103,101,0,102,2,400,0
8321590,0,375,224,NA,0,NA,NA,30,0
8321591,0,282,142,108,0,125,1,1,0
8321592,0,158,90,NA,0,NA,NA,400,0
8321593,0,290,347,55,1,55,1,400,0
8321594,0,339,81,64,0,64,0,400,0
8321595,1,246,221,52,0,89,1,1,0
8321596,1,99,92,NA,0,NA,NA,400,0
8321597,0,185,109,13,1,61,2,1,0
8321598,1,151,147,9,1,47,2,1,0
8321599,0,490,247,NA,0,NA,NA,1,0
8321600,0,158,NA,NA,0,NA,NA,NA,0
8321601,0,326,97,70,2,84,0,400,0
8321602,0,156,NA,NA,NA,NA,NA,NA,0
8321603,0,335,220,71,2,89,3,400,0
8321604,1,204,22,NA,0,NA,NA,400,0
8321605,0,91,92,NA,0,NA,NA,400,0
8321606,0,34,NA,NA,NA,NA,NA,NA,0
8321607,1,228,125,102,1,102,1,1,0
8321608,0,147,117,94,0,94,0,1,0
8321609,1,244,97,NA,0,NA,NA,400,0
8321610,1,216,215,77,0,93,3,400,0
8321611,0,298,152,42,0,60,0,1,0
8321612,1,NA,NA,NA,NA,NA,NA,NA,0
8321613,1,89,86,21,1,43,1,400,0
8321614,1,296,107,22,2,48,1,400,0
8321615,1,309,263,NA,0,NA,NA,400,0
8321616,1,165,120,86,0,86,0,400,0
8321617,1,245,239,7,0,29,1,400,1
8321618,1,227,NA,NA,1,NA,NA,NA,0
8321619,0,13,7,NA,0,NA,NA,1,0
8321620,0,374,389,12,0,12,1,30,0
8321621,1,50,37,NA,0,NA,NA,120,0
8321622,1,224,181,101,0,101,0,400,0
8321623,1,90,90,52,0,57,3,1,0
8321624,0,203,78,NA,0,NA,NA,400,0
8321625,1,22,NA,NA,0,NA,NA,NA,0
8321626,0,234,159,49,0,94,0,400,1
8321627,0,3,NA,NA,0,NA,NA,NA,0
8321628,0,172,NA,NA,0,NA,NA,NA,0
8321629,0,99,95,8,0,34,2,30,0
8321630,0,155,NA,NA,0,NA,NA,NA,0
8321631,0,254,167,46,0,108,2,1,0
8321632,0,316,123,76,2,76,0,1,0
8321633,1,NA,1,NA,1,NA,NA,1,0
8321634,1,311,135,45,0,105,2,400,0
8321635,0,181,111,38,0,77,2,1,0
8321636,0,235,128,37,0,83,0,1,0
8321637,1,308,151,20,1,61,2,60,0
8321638,0,174,88,NA,0,NA,NA,400,0
8321639,0,281,139,139,1,139,0,1,0
8321640,0,50,49,NA,0,NA,NA,1,0
8321641,0,18,9,9,0,9,1,1,0
8321642,1,92,42,NA,0,NA,NA,1,0
8321643,0,220,126,NA,0,NA,NA,1,0
8321644,0,NA,4,NA,0,NA,NA,1,0
8321645,0,317,199,7,0,7,1,30,0
8321646,1,16,15,NA,0,NA,NA,30,0
8321647,1,42,NA,NA,0,NA,NA,1,0
8321648,1,20,NA,NA,0,NA,NA,NA,0
8321649,0,79,82,NA,1,NA,NA,60,0
8321650,0,300,238,39,0,39,0,1,0
8321651,1,246,222,15,1,62,5,90,0
8321652,0,83,83,42,0,42,0,400,0
8321653,0,15,NA,NA,0,NA,NA,NA,0
8321654,0,102,81,20,2,39,2,30,1
8321655,1,157,NA,NA,0,NA,NA,NA,0
8321656,0,268,187,NA,0,NA,NA,400,0
8321657,0,188,133,30,0,61,1,400,0
8321658,0,236,36,NA,0,NA,NA,1,0
8321659,1,177,77,29,0,48,1,90,1
8321660,0,187,127,NA,0,NA,NA,1,1
8321661,1,112,113,NA,0,NA,NA,400,0
8321662,0,285,105,NA,1,NA,NA,1,0
8321663,0,299,222,15,0,43,3,400,0
8321664,0,210,117,117,0,117,1,1,0
8321665,1,169,171,66,0,88,1,400,0
8321666,0,120,54,NA,0,NA,NA,1,0
8321667,0,170,29,NA,0,NA,NA,1,0
8321668,0,168,134,88,0,88,0,400,0
8321669,0,27,27,NA,1,NA,NA,1,0
8321670,1,301,106,NA,0,NA,NA,400,0
8321671,1,78,70,NA,0,NA,NA,1,0
8321672,1,166,77,NA,1,NA,NA,400,0
8321673,0,318,191,83,0,115,2,1,0
8321674,0,70,55,NA,0,NA,NA,1,0
8321675,1,383,55,NA,0,NA,NA,400,0
8321676,1,373,141,30,0,58,1,400,0
8321677,0,287,NA,NA,NA,NA,NA,NA,0
8321678,1,326,386,13,0,58,1,1,0
8321679,0,194,75,NA,0,NA,NA,400,0
8321680,1,34,25,NA,0,NA,NA,1,0
8321681,0,90,91,NA,1,NA,NA,1,0
8321682,0,255,146,24,0,81,2,400,0
8321683,0,392,358,120,0,149,2,1,0
8321684,1,346,119,83,0,101,1,1,0
8321685,1,110,111,NA,0,NA,NA,1,0
8321686,0,140,140,NA,0,NA,NA,1,0
8321687,0,320,148,148,0,148,1,1,0
8321688,0,294,67,67,0,67,0,1,0
8321689,0,161,105,105,0,105,0,60,0
8321690,0,122,67,12,0,40,0,60,0
8321691,0,9,NA,NA,1,NA,NA,NA,0
8321692,0,342,317,76,0,76,1,1,0
8321693,0,308,238,36,1,77,1,400,0
8321694,0,316,249,23,0,74,1,30,0
8321695,0,242,178,NA,0,NA,NA,1,0
8321696,0,210,122,31,0,77,2,1,0
8321697,0,290,83,83,0,83,0,1,1
8321698,0,62,63,58,0,58,1,400,0
8321699,0,218,92,58,0,58,0,1,0
8321700,0,319,59,NA,0,NA,NA,400,0
8321701,0,98,65,NA,1,NA,NA,30,1
8321702,0,366,130,80,0,98,2,400,0
8321703,0,94,67,54,0,54,0,1,0
8321704,0,247,125,77,0,89,0,400,0
8321705,0,210,161,43,1,95,1,1,0
8321706,0,167,93,72,2,72,1,1,0
8321707,0,376,227,NA,0,NA,NA,1,0
8321708,0,354,149,43,0,96,2,1,0
8321709,1,316,315,123,0,123,1,1,0
8321710,0,68,66,NA,0,NA,NA,1,0
8321711,1,317,131,22,0,54,1,120,0
8321712,1,156,78,NA,0,NA,NA,120,0
8321713,0,264,235,NA,1,NA,NA,1,0
8321714,0,139,131,27,0,79,1,400,1
8321715,0,337,342,85,1,98,2,60,1
8321716,0,72,73,NA,0,NA,NA,30,0
8321717,1,161,NA,NA,NA,NA,NA,NA,0
8321718,1,349,132,21,0,26,0,400,0
8321719,1,142,97,70,2,70,0,400,0
8321720,1,166,61,NA,3,NA,NA,1,0
8321721,0,184,82,33,0,56,2,400,0
8321722,1,177,9,NA,0,NA,NA,400,0
8321723,0,349,212,40,0,97,3,90,0
8321724,0,144,60,49,0,49,0,30,0
8321725,1,237,126,38,3,38,1,400,0
8321726,1,346,284,122,0,122,0,1,0
8321727,1,219,114,12,1,54,0,400,0
8321728,0,33,4,NA,0,NA,NA,1,1
8321729,0,314,314,38,3,74,2,30,0
8321730,0,314,80,35,0,35,0,400,0
8321731,0,193,155,75,0,101,2,1,0
8321732,0,213,210,120,0,127,0,400,0
8321733,1,269,124,NA,0,NA,NA,400,0
8321734,0,31,31,NA,0,NA,NA,400,0
8321735,0,264,17,NA,0,NA,NA,400,0
8321736,0,118,120,NA,1,NA,NA,60,0
8321737,0,39,NA,NA,NA,NA,NA,NA,0
8321738,0,238,106,11,0,38,1,400,0
8321739,0,210,65,NA,0,NA,NA,400,0
8321740,0,180,94,NA,0,NA,NA,400,0
8321741,0,77,NA,NA,NA,NA,NA,NA,0
8321742,0,175,149,60,0,69,0,400,0
8321743,0,33,21,NA,0,NA,NA,1,0
8321744,0,125,100,15,0,58,1,1,0
8321745,1,314,97,NA,0,NA,NA,1,0
8321746,0,277,128,44,0,78,0,400,0
8321747,0,54,58,NA,0,NA,NA,1,0
8321748,1,364,58,58,0,58,0,1,0
8321749,0,357,170,14,0,71,4,400,0
8321750,0,237,86,NA,2,NA,NA,400,0
8321751,0,305,161,53,0,53,0,1,1
8321752,1,182,166,80,0,114,0,400,0
8321753,1,270,73,73,0,73,0,1,0
8321754,1,103,96,NA,0,NA,NA,1,0
8321755,0,375,367,76,1,121,2,1,0
8321756,1,24,NA,NA,0,NA,NA,NA,0
8321757,1,247,143,11,0,68,7,120,0
8321758,1,323,127,NA,0,NA,NA,400,0
8321759,0,377,37,27,0,27,1,1,0
8321760,0,209,96,96,0,96,0,60,0
8321761,0,362,101,18,0,52,0,1,0
8321762,1,354,58,NA,0,NA,NA,400,0
8321763,0,225,23,NA,0,NA,NA,400,0
8321764,0,125,96,19,0,38,0,30,0
8321765,1,307,26,NA,0,NA,NA,400,0
8321766,1,217,141,5,2,74,3,400,0
8321767,0,1,NA,NA,0,NA,NA,NA,1
8321768,0,228,290,5,0,36,1,400,0
8321769,1,162,NA,NA,0,NA,NA,NA,0
8321770,0,273,117,93,0,98,2,400,1
8321771,1,315,64,NA,0,NA,NA,1,0
8321772,0,227,132,28,1,92,2,1,0
8321773,1,172,168,NA,4,NA,NA,400,1
8321774,0,113,109,75,3,88,0,90,0
8321775,0,103,61,NA,0,NA,NA,1,0
8321776,0,42,18,NA,0,NA,NA,1,0
8321777,0,211,152,118,0,122,2,400,0
8321778,1,214,182,64,0,64,0,400,0
8321779,0,22,NA,NA,0,NA,NA,NA,0
8321780,0,209,192,93,1,128,1,1,0
8321781,0,195,113,NA,0,NA,NA,1,0
8321782,0,184,173,27,0,71,3,400,0
8321783,0,142,74,37,0,49,4,400,0
8321784,0,239,123,13,0,68,0,30,0
8321785,0,323,249,46,1,65,0,1,0
8321786,1,7,NA,NA,0,NA,NA,NA,0
8321787,0,329,322,40,0,86,1,1,0
8321788,0,147,107,84,0,96,0,1,0
8321789,0,76,56,15,0,24,2,1,0
8321790,0,314,137,7,0,75,10,400,0
8321791,0,181,73,69,0,69,0,400,0
8321792,0,326,213,119,1,119,0,400,0
8321793,1,362,121,5,0,44,4,400,0
8321794,1,214,131,5,0,5,1,1,0
8321795,0,376,239,NA,0,NA,NA,1,0
8321796,0,346,336,43,0,83,1,400,0
8321797,0,296,191,52,0,87,1,1,0
8321798,0,280,45,NA,0,NA,NA,60,0
8321799,0,76,69,NA,0,NA,NA,1,0
8321800,0,140,124,NA,1,NA,NA,1,0
8321801,1,262,108,16,0,71,2,400,0
8321802,0,36,NA,NA,0,NA,NA,NA,0
8321803,1,83,62,NA,0,NA,NA,1,0
8321804,0,300,126,18,1,29,2,400,0
8321805,1,44,NA,NA,NA,NA,NA,NA,0
8321806,0,379,67,48,1,58,1,400,0
8321807,0,291,243,NA,0,NA,NA,90,0
8321808,0,65,51,51,0,51,1,30,0
8321809,0,149,107,107,0,107,0,1,0
8321810,0,306,141,NA,0,NA,NA,400,0
8321811,0,292,138,138,0,138,1,1,0
8321812,1,141,140,26,0,53,1,400,0
8321813,1,170,113,79,0,102,1,400,0
8321814,1,176,173,43,0,60,2,1,0
8321815,0,132,117,27,0,61,1,60,1
8321816,0,215,198,60,1,60,0,400,0
8321817,0,320,148,NA,0,NA,NA,1,0
8321818,0,125,43,43,0,43,0,1,0
8321819,1,60,54,8,0,8,0,400,1
8321820,0,96,95,NA,2,NA,NA,1,0
8321821,1,61,38,NA,0,NA,NA,400,1
8321822,1,258,199,86,0,86,0,90,0
8321823,0,315,202,30,1,68,0,1,0
8321824,1,54,9,NA,0,NA,NA,1,1
8321825,1,236,57,42,0,42,0,1,0
8321826,0,305,234,7,0,68,4,1,0
8321827,0,54,47,NA,0,NA,NA,1,0
8321828,1,17,19,NA,0,NA,NA,1,0
8321829,1,1,1,NA,0,NA,NA,1,0
8321830,0,50,52,NA,0,NA,NA,400,0
8321831,0,341,130,75,0,97,2,1,0
8321832,0,185,162,40,1,60,0,400,0
8321833,1,224,160,62,0,62,1,1,0
8321834,1,311,127,16,0,41,0,400,0
8321835,0,320,143,23,0,88,1,1,0
8321836,1,147,NA,NA,0,NA,NA,NA,0
8321837,0,224,102,96,0,96,2,1,0
8321838,0,132,102,NA,0,NA,NA,400,0
8321839,0,150,97,NA,0,NA,NA,1,1
8321840,0,302,264,113,0,113,0,1,0
