ID,AgeOldestIdentityRecord,AgeOldestAccount,AgeNewestAutoAccount,TotalInquiries,AvgAgeAutoAccounts,TotalAutoAccountsNeverDelinquent,WorstDelinquency,HasInquiryTelecomm
8327312,240.0,72.0,,0.0,,,400.0,0.0
8328898,282.0,158.0,70.0,1.0,114.0,1.0,400.0,0.0
8327495,345.0,260.0,,0.0,,,1.0,0.0
8325383,381.0,47.0,,0.0,,,1.0,0.0
8327958,206.0,210.0,71.0,0.0,71.0,0.0,1.0,0.0
8328604,321.0,87.0,13.0,2.0,37.0,3.0,400.0,0.0
8322632,21.0,19.0,,0.0,,,1.0,0.0
8326445,319.0,242.0,118.0,0.0,118.0,0.0,1.0,0.0
8322232,603.0,,,,,,,0.0
8328117,180.0,55.0,,0.0,,,120.0,0.0
8322909,357.0,80.0,5.0,2.0,42.0,1.0,400.0,0.0
8328667,61.0,45.0,13.0,0.0,13.0,1.0,120.0,0.0
8327921,87.0,88.0,39.0,1.0,39.0,0.0,30.0,0.0
8331252,248.0,131.0,15.0,1.0,15.0,0.0,400.0,0.0
8331291,71.0,28.0,28.0,0.0,28.0,0.0,400.0,0.0
8323683,26.0,,,,,,,1.0
8332588,214.0,104.0,,0.0,,,400.0,0.0
8326104,170.0,150.0,74.0,0.0,74.0,0.0,1.0,0.0
8324581,347.0,356.0,25.0,0.0,39.0,1.0,30.0,0.0
8328758,18.0,,,,,,,0.0
8323143,279.0,101.0,101.0,0.0,101.0,0.0,1.0,0.0
8325555,224.0,128.0,14.0,1.0,66.0,4.0,400.0,0.0
8322846,182.0,80.0,,0.0,,,1.0,0.0
8326929,147.0,77.0,44.0,0.0,44.0,0.0,1.0,0.0
8326335,52.0,42.0,,1.0,,,30.0,0.0
8326269,34.0,34.0,34.0,0.0,34.0,0.0,30.0,0.0
8329372,57.0,54.0,2.0,0.0,26.0,1.0,1.0,0.0
8325820,120.0,,,,,,,0.0
8327907,380.0,69.0,51.0,0.0,51.0,1.0,400.0,0.0
8332774,372.0,122.0,103.0,0.0,113.0,1.0,1.0,0.0
8328872,243.0,126.0,26.0,0.0,65.0,3.0,400.0,0.0
8331195,320.0,127.0,32.0,0.0,52.0,0.0,400.0,0.0
8325258,85.0,23.0,,0.0,,,90.0,0.0
8325792,147.0,155.0,,0.0,,,400.0,1.0
8332374,166.0,53.0,,0.0,,,400.0,0.0
8332460,122.0,123.0,39.0,0.0,45.0,1.0,1.0,0.0
8326640,227.0,96.0,76.0,0.0,83.0,2.0,60.0,0.0
8324377,120.0,,,0.0,,,1.0,1.0
8329255,137.0,112.0,3.0,0.0,58.0,0.0,400.0,0.0
8330060,188.0,190.0,44.0,0.0,44.0,1.0,1.0,0.0
8322682,287.0,181.0,181.0,0.0,181.0,1.0,1.0,0.0
8324915,2.0,,,0.0,,,,0.0
8325114,376.0,553.0,9.0,1.0,83.0,4.0,1.0,0.0
8332423,238.0,231.0,92.0,0.0,92.0,0.0,1.0,0.0
8323330,168.0,118.0,118.0,1.0,118.0,0.0,1.0,0.0
8328420,341.0,161.0,83.0,0.0,122.0,1.0,1.0,0.0
8325267,43.0,44.0,,0.0,,,400.0,0.0
8331069,320.0,287.0,70.0,0.0,114.0,1.0,400.0,0.0
8331905,209.0,42.0,42.0,0.0,42.0,1.0,30.0,0.0
8325613,168.0,,,0.0,,,,0.0
8332289,111.0,101.0,8.0,0.0,25.0,1.0,1.0,0.0
8322772,66.0,66.0,,0.0,,,400.0,0.0
8330730,143.0,106.0,29.0,0.0,29.0,1.0,1.0,0.0
8327246,430.0,201.0,42.0,1.0,113.0,1.0,400.0,0.0
