ID,AgeOldestIdentityRecord,AgeOldestAccount,AgeNewestAutoAccount,TotalInquiries,AvgAgeAutoAccounts,TotalAutoAccountsNeverDelinquent,WorstDelinquency,HasInquiryTelecomm,Prob_del
8324919,356.0,596.0,98.0,0.0,123.0,3.0,1.0,0.0,0.13604257798673014
8322781,473.0,194.0,,0.0,,,1.0,0.0,0.16484190125251902
8321683,392.0,358.0,120.0,0.0,149.0,2.0,1.0,0.0,0.16680000456310748
8327051,320.0,605.0,58.0,0.0,64.0,0.0,1.0,0.0,0.16681718030136528
8327028,377.0,392.0,133.0,0.0,133.0,1.0,1.0,0.0,0.1671189836718365
8324518,349.0,510.0,71.0,0.0,79.0,1.0,1.0,0.0,0.17111099380435066
8331874,399.0,360.0,,0.0,,,1.0,0.0,0.1733828123639221
8327982,437.0,350.0,,0.0,,,1.0,0.0,0.17808292904904294
8324988,374.0,432.0,,0.0,,,1.0,0.0,0.1824685054951349
8327425,352.0,204.0,204.0,0.0,204.0,0.0,1.0,0.0,0.18350675381398915
8324458,383.0,361.0,,0.0,,,1.0,0.0,0.18433051501250663
8329713,367.0,272.0,102.0,0.0,169.0,2.0,1.0,0.0,0.18684029167692706
8325114,376.0,553.0,9.0,1.0,83.0,4.0,1.0,0.0,0.1889762221531848
8328656,382.0,410.0,,0.0,,,1.0,0.0,0.19104317741563584
8324279,409.0,304.0,57.0,0.0,107.0,3.0,1.0,0.0,0.19126323489424749
8322496,354.0,248.0,106.0,0.0,137.0,4.0,1.0,0.0,0.1914022909507903
8323468,380.0,351.0,47.0,0.0,108.0,2.0,1.0,0.0,0.19243581258102455
8327577,325.0,353.0,111.0,0.0,111.0,0.0,1.0,0.0,0.19578353231502169
8321910,308.0,285.0,141.0,0.0,141.0,1.0,1.0,0.0,0.19598369261118495
8326575,383.0,332.0,68.0,0.0,117.0,0.0,1.0,0.0,0.19808916105269597
8331927,281.0,236.0,169.0,0.0,169.0,1.0,1.0,0.0,0.1990091515301192
8332388,368.0,290.0,31.0,0.0,101.0,5.0,1.0,0.0,0.19929725558040562
8329655,374.0,367.0,9.0,0.0,60.0,4.0,1.0,0.0,0.19974823135853734
8322742,339.0,361.0,19.0,0.0,57.0,5.0,1.0,0.0,0.2012402666591582
8327910,347.0,420.0,33.0,0.0,53.0,1.0,1.0,0.0,0.20250458999529639
8331527,290.0,312.0,4.0,0.0,72.0,9.0,1.0,0.0,0.20273898261333784
8325237,379.0,294.0,79.0,0.0,103.0,2.0,30.0,0.0,0.20354312783384557
8324662,367.0,160.0,160.0,0.0,160.0,1.0,1.0,0.0,0.2042866701838673
8332652,376.0,216.0,97.0,0.0,119.0,3.0,1.0,0.0,0.20443070372734826
8322682,287.0,181.0,181.0,0.0,181.0,1.0,1.0,0.0,0.20456275188446466
8322277,313.0,295.0,102.0,0.0,123.0,1.0,1.0,0.0,0.20517594958033605
8325559,352.0,366.0,,0.0,,,1.0,0.0,0.20519869098268745
8329266,410.0,351.0,17.0,0.0,72.0,1.0,1.0,0.0,0.2056911821860019
8328606,373.0,327.0,16.0,0.0,84.0,3.0,1.0,0.0,0.20613209852270478
8332151,293.0,291.0,118.0,0.0,118.0,1.0,1.0,0.0,0.207188955035985
8325011,330.0,349.0,59.0,0.0,88.0,1.0,1.0,0.0,0.20752016017058797
8332301,346.0,369.0,62.0,0.0,117.0,1.0,90.0,0.0,0.20781359891453602
8328906,322.0,272.0,71.0,0.0,135.0,2.0,1.0,0.0,0.20825595388575116
8330258,378.0,248.0,111.0,0.0,111.0,0.0,1.0,0.0,0.2091127930778352
8332551,355.0,227.0,5.0,0.0,53.0,10.0,1.0,0.0,0.20936722191812102
8325402,312.0,202.0,146.0,0.0,150.0,1.0,1.0,0.0,0.21007559194988726
8331084,383.0,153.0,153.0,0.0,153.0,0.0,1.0,0.0,0.21050647986938828
8327328,294.0,342.0,22.0,0.0,86.0,4.0,1.0,0.0,0.210608922035212
8327692,352.0,329.0,41.0,0.0,91.0,1.0,1.0,0.0,0.21128911555460977
8329150,349.0,463.0,148.0,0.0,148.0,1.0,400.0,0.0,0.2119338198835203
8324580,309.0,196.0,158.0,0.0,158.0,0.0,1.0,0.0,0.21198272733029763
8326928,301.0,238.0,93.0,0.0,166.0,1.0,1.0,0.0,0.21217703161900006
8321599,490.0,247.0,,0.0,,,1.0,0.0,0.21220598725288273
8323469,385.0,322.0,,0.0,,,1.0,0.0,0.21240736391938475
8328269,344.0,155.0,95.0,0.0,109.0,6.0,1.0,0.0,0.21276770168304393
8331151,306.0,380.0,,0.0,,,1.0,0.0,0.21290575359233713
8323255,185.0,,,0.0,,,,0.0,0.2130440500388016
8323347,218.0,450.0,17.0,0.0,71.0,2.0,1.0,0.0,0.2137702973887872
8323034,379.0,221.0,,0.0,,,1.0,0.0,0.21400284669677747
8327773,419.0,226.0,75.0,0.0,95.0,2.0,30.0,0.0,0.21403026508546272
8327496,302.0,231.0,,0.0,,,1.0,0.0,0.2141060996289284
8326311,340.0,312.0,30.0,0.0,97.0,3.0,30.0,0.0,0.21410722465724202
8327525,372.0,303.0,96.0,0.0,122.0,1.0,120.0,0.0,0.21410832803996427
8329162,353.0,,,0.0,,,,0.0,0.21486419090481887
8325755,380.0,199.0,,0.0,,,1.0,0.0,0.21517212982044356
8332507,290.0,,,,,,,0.0,0.21518554736025683
8325683,285.0,360.0,47.0,0.0,69.0,2.0,1.0,0.0,0.21555971818692674
8323704,356.0,544.0,75.0,0.0,115.0,1.0,400.0,0.0,0.2163488251744947
8322646,328.0,325.0,1.0,0.0,71.0,4.0,1.0,0.0,0.21635047209943573
8329922,377.0,115.0,,0.0,,,1.0,0.0,0.21666739417548914
8329129,330.0,232.0,133.0,0.0,133.0,1.0,60.0,0.0,0.2167556449024723
8330055,314.0,298.0,,0.0,,,1.0,0.0,0.21734476273428485
8330960,382.0,165.0,132.0,0.0,132.0,0.0,1.0,0.0,0.2174547501234264
8328905,305.0,327.0,110.0,0.0,121.0,0.0,90.0,0.0,0.21746916419391368
8330383,259.0,225.0,109.0,0.0,152.0,2.0,1.0,0.0,0.2177463612011728
8326445,319.0,242.0,118.0,0.0,118.0,0.0,1.0,0.0,0.2179244726503281
8323022,293.0,165.0,165.0,0.0,165.0,0.0,1.0,0.0,0.21866922584856213
8323310,333.0,153.0,144.0,0.0,144.0,1.0,1.0,0.0,0.21905489964378821
8322566,199.0,171.0,,0.0,,,1.0,0.0,0.21947159917295944
8321868,309.0,284.0,76.0,0.0,97.0,1.0,1.0,0.0,0.21997414285952957
8326023,309.0,293.0,92.0,0.0,92.0,0.0,1.0,0.0,0.22007333128066198
8324588,289.0,195.0,108.0,0.0,148.0,2.0,1.0,0.0,0.2202081061959132
8322414,367.0,326.0,,0.0,,,1.0,0.0,0.22021581770870782
8324474,263.0,256.0,98.0,0.0,118.0,2.0,1.0,0.0,0.22031818403340467
8321687,320.0,148.0,148.0,0.0,148.0,1.0,1.0,0.0,0.2207483342989718
8323834,356.0,164.0,114.0,0.0,116.0,2.0,1.0,0.0,0.22099738200775096
